Ward,Precinct,Registered,Votes,RAHM EMANUEL ,%,WILLIE WILSON ,%,ROBERT W. FIORETTI ,%,JESUS ''CHUY'' GARCIA ,%,"WILLIAM WALLS, III ",%
47,27,647,226,127,0.5619,2,0.0088,14,0.0619,81,0.3584,2,0.0088
47,28,679,310,156,0.5032,3,0.0097,17,0.0548,131,0.4226,3,0.0097
47,29,724,267,140,0.5243,6,0.0225,15,0.0562,104,0.3895,2,0.0075
47,30,791,277,133,0.4801,6,0.0217,18,0.065,120,0.4332,0,0
47,31,726,250,110,0.44,1,0.004,14,0.056,125,0.5,0,0
47,32,751,282,127,0.4504,4,0.0142,17,0.0603,134,0.4752,0,0
47,33,669,222,144,0.6486,3,0.0135,9,0.0405,63,0.2838,3,0.0135
47,34,714,319,178,0.558,8,0.0251,14,0.0439,115,0.3605,4,0.0125
47,35,696,249,138,0.5542,7,0.0281,19,0.0763,83,0.3333,2,0.008
47,36,708,298,142,0.4765,5,0.0168,18,0.0604,132,0.443,1,0.0034
47,37,733,291,157,0.5395,6,0.0206,13,0.0447,115,0.3952,0,0
47,38,682,254,133,0.5236,4,0.0157,11,0.0433,106,0.4173,0,0
47,39,688,283,165,0.583,2,0.0071,19,0.0671,95,0.3357,2,0.0071
47,40,643,323,163,0.5046,9,0.0279,15,0.0464,133,0.4118,3,0.0093
47,41,759,294,131,0.4456,6,0.0204,15,0.051,136,0.4626,6,0.0204
47,42,643,236,98,0.4153,5,0.0212,10,0.0424,120,0.5085,3,0.0127
47,43,690,219,124,0.5662,7,0.032,18,0.0822,68,0.3105,2,0.0091
47,44,733,261,165,0.6322,10,0.0383,12,0.046,70,0.2682,4,0.0153
47,45,636,272,128,0.4706,7,0.0257,23,0.0846,112,0.4118,2,0.0074
47,46,681,263,126,0.4791,6,0.0228,17,0.0646,112,0.4259,2,0.0076
47,47,788,255,131,0.5137,5,0.0196,14,0.0549,103,0.4039,2,0.0078
47,48,79,52,38,0.7308,2,0.0385,0,0,12,0.2308,0,0
48,1,627,220,82,0.3727,3,0.0136,13,0.0591,117,0.5318,5,0.0227
48,2,331,139,75,0.5396,1,0.0072,3,0.0216,58,0.4173,2,0.0144
48,3,810,254,120,0.4724,13,0.0512,21,0.0827,97,0.3819,3,0.0118
48,4,548,245,150,0.6122,5,0.0204,7,0.0286,81,0.3306,2,0.0082
48,5,379,213,122,0.5728,3,0.0141,9,0.0423,75,0.3521,4,0.0188
48,6,796,259,143,0.5521,17,0.0656,6,0.0232,89,0.3436,4,0.0154
48,7,684,219,93,0.4247,4,0.0183,11,0.0502,110,0.5023,1,0.0046
48,8,404,164,98,0.5976,2,0.0122,12,0.0732,51,0.311,1,0.0061
48,9,483,206,128,0.6214,9,0.0437,15,0.0728,50,0.2427,4,0.0194
48,10,851,329,141,0.4286,8,0.0243,13,0.0395,167,0.5076,0,0
48,11,561,247,124,0.502,6,0.0243,15,0.0607,102,0.413,0,0
48,12,811,283,150,0.53,9,0.0318,18,0.0636,102,0.3604,4,0.0141
48,13,865,367,229,0.624,20,0.0545,16,0.0436,96,0.2616,6,0.0163
48,14,395,194,118,0.6082,9,0.0464,12,0.0619,51,0.2629,4,0.0206
48,15,493,166,95,0.5723,8,0.0482,6,0.0361,51,0.3072,6,0.0361
48,16,789,257,128,0.4981,18,0.07,12,0.0467,94,0.3658,5,0.0195
48,17,628,279,161,0.5771,11,0.0394,8,0.0287,95,0.3405,4,0.0143
48,18,645,264,158,0.5985,23,0.0871,17,0.0644,57,0.2159,9,0.0341
48,19,514,183,92,0.5027,4,0.0219,9,0.0492,77,0.4208,1,0.0055
48,20,754,294,101,0.3435,11,0.0374,12,0.0408,168,0.5714,2,0.0068
48,21,946,317,162,0.511,37,0.1167,15,0.0473,99,0.3123,4,0.0126
48,22,566,321,202,0.6293,15,0.0467,6,0.0187,94,0.2928,4,0.0125
48,23,761,368,203,0.5516,18,0.0489,25,0.0679,116,0.3152,6,0.0163
